"Periodo(MMM DD, AAAA)";"Unidad de Valor Real (UVR)";"Archivo"
"2016/05/24";238,8744;"UVR_Unidad de valor real"
"2016/05/25";238,9129;"UVR_Unidad de valor real"
"2016/05/26";238,9513;"UVR_Unidad de valor real"
"2016/05/27";238,9898;"UVR_Unidad de valor real"
"2016/05/28";239,0282;"UVR_Unidad de valor real"
"2016/05/29";239,0667;"UVR_Unidad de valor real"
"2016/05/30";239,1051;"UVR_Unidad de valor real"
"2016/05/31";239,1436;"UVR_Unidad de valor real"
"2016/06/01";239,1821;"UVR_Unidad de valor real"
"2016/06/02";239,2206;"UVR_Unidad de valor real"
"2016/06/03";239,2591;"UVR_Unidad de valor real"
"2016/06/04";239,2976;"UVR_Unidad de valor real"
"2016/06/05";239,3361;"UVR_Unidad de valor real"
"2016/06/06";239,3746;"UVR_Unidad de valor real"
"2016/06/07";239,4131;"UVR_Unidad de valor real"
"2016/06/08";239,4516;"UVR_Unidad de valor real"
"2016/06/09";239,4901;"UVR_Unidad de valor real"
"2016/06/10";239,5287;"UVR_Unidad de valor real"
"2016/06/11";239,5672;"UVR_Unidad de valor real"
"2016/06/12";239,6058;"UVR_Unidad de valor real"
"2016/06/13";239,6443;"UVR_Unidad de valor real"
"2016/06/14";239,6829;"UVR_Unidad de valor real"
"2016/06/15";239,7214;"UVR_Unidad de valor real"
"2016/06/16";239,7621;"UVR_Unidad de valor real"
"2016/06/17";239,8027;"UVR_Unidad de valor real"
"2016/06/18";239,8434;"UVR_Unidad de valor real"
"2016/06/19";239,8841;"UVR_Unidad de valor real"
"2016/06/20";239,9247;"UVR_Unidad de valor real"
"2016/06/21";239,9654;"UVR_Unidad de valor real"
"2016/06/22";240,0061;"UVR_Unidad de valor real"
"2016/06/23";240,0468;"UVR_Unidad de valor real"
"2016/06/24";240,0875;"UVR_Unidad de valor real"
"2016/06/25";240,1282;"UVR_Unidad de valor real"
"2016/06/26";240,169;"UVR_Unidad de valor real"
"2016/06/27";240,2097;"UVR_Unidad de valor real"
"2016/06/28";240,2504;"UVR_Unidad de valor real"
"2016/06/29";240,2912;"UVR_Unidad de valor real"
"2016/06/30";240,3319;"UVR_Unidad de valor real"
"2016/07/01";240,3727;"UVR_Unidad de valor real"
"2016/07/02";240,4134;"UVR_Unidad de valor real"
"2016/07/03";240,4542;"UVR_Unidad de valor real"
"2016/07/04";240,495;"UVR_Unidad de valor real"
"2016/07/05";240,5358;"UVR_Unidad de valor real"
"2016/07/06";240,5766;"UVR_Unidad de valor real"
"2016/07/07";240,6173;"UVR_Unidad de valor real"
"2016/07/08";240,6582;"UVR_Unidad de valor real"
"2016/07/09";240,699;"UVR_Unidad de valor real"
"2016/07/10";240,7398;"UVR_Unidad de valor real"
"2016/07/11";240,7806;"UVR_Unidad de valor real"
"2016/07/12";240,8214;"UVR_Unidad de valor real"
"2016/07/13";240,8623;"UVR_Unidad de valor real"
"2016/07/14";240,9031;"UVR_Unidad de valor real"
"2016/07/15";240,944;"UVR_Unidad de valor real"
"2016/07/16";240,9812;"UVR_Unidad de valor real"
"2016/07/17";241,0184;"UVR_Unidad de valor real"
"2016/07/18";241,0557;"UVR_Unidad de valor real"
"2016/07/19";241,0929;"UVR_Unidad de valor real"
"2016/07/20";241,1302;"UVR_Unidad de valor real"
"2016/07/21";241,1674;"UVR_Unidad de valor real"
"2016/07/22";241,2047;"UVR_Unidad de valor real"
"2016/07/23";241,2419;"UVR_Unidad de valor real"
"2016/07/24";241,2792;"UVR_Unidad de valor real"
"2016/07/25";241,3165;"UVR_Unidad de valor real"
"2016/07/26";241,3537;"UVR_Unidad de valor real"
"2016/07/27";241,391;"UVR_Unidad de valor real"
"2016/07/28";241,4283;"UVR_Unidad de valor real"
"2016/07/29";241,4656;"UVR_Unidad de valor real"
"2016/07/30";241,5029;"UVR_Unidad de valor real"
"2016/07/31";241,5402;"UVR_Unidad de valor real"
"2016/08/01";241,5775;"UVR_Unidad de valor real"
"2016/08/02";241,6149;"UVR_Unidad de valor real"
"2016/08/03";241,6522;"UVR_Unidad de valor real"
"2016/08/04";241,6895;"UVR_Unidad de valor real"
"2016/08/05";241,7269;"UVR_Unidad de valor real"
"2016/08/06";241,7642;"UVR_Unidad de valor real"
"2016/08/07";241,8015;"UVR_Unidad de valor real"
"2016/08/08";241,8389;"UVR_Unidad de valor real"
"2016/08/09";241,8763;"UVR_Unidad de valor real"
"2016/08/10";241,9136;"UVR_Unidad de valor real"
"2016/08/11";241,951;"UVR_Unidad de valor real"
"2016/08/12";241,9884;"UVR_Unidad de valor real"
"2016/08/13";242,0257;"UVR_Unidad de valor real"
"2016/08/14";242,0631;"UVR_Unidad de valor real"
"2016/08/15";242,1005;"UVR_Unidad de valor real"
"2016/08/16";242,141;"UVR_Unidad de valor real"
"2016/08/17";242,1815;"UVR_Unidad de valor real"
"2016/08/18";242,222;"UVR_Unidad de valor real"
"2016/08/19";242,2626;"UVR_Unidad de valor real"
"2016/08/20";242,3031;"UVR_Unidad de valor real"
"2016/08/21";242,3437;"UVR_Unidad de valor real"
"2016/08/22";242,3842;"UVR_Unidad de valor real"
"2016/08/23";242,4248;"UVR_Unidad de valor real"
"2016/08/24";242,4653;"UVR_Unidad de valor real"
"2016/08/25";242,5059;"UVR_Unidad de valor real"
"2016/08/26";242,5465;"UVR_Unidad de valor real"
"2016/08/27";242,5871;"UVR_Unidad de valor real"
"2016/08/28";242,6276;"UVR_Unidad de valor real"
"2016/08/29";242,6682;"UVR_Unidad de valor real"
"2016/08/30";242,7088;"UVR_Unidad de valor real"
"2016/08/31";242,7495;"UVR_Unidad de valor real"
"2016/09/01";242,7901;"UVR_Unidad de valor real"
"2016/09/02";242,8307;"UVR_Unidad de valor real"
"2016/09/03";242,8713;"UVR_Unidad de valor real"
"2016/09/04";242,912;"UVR_Unidad de valor real"
"2016/09/05";242,9526;"UVR_Unidad de valor real"
"2016/09/06";242,9933;"UVR_Unidad de valor real"
"2016/09/07";243,0339;"UVR_Unidad de valor real"
"2016/09/08";243,0746;"UVR_Unidad de valor real"
"2016/09/09";243,1153;"UVR_Unidad de valor real"
"2016/09/10";243,1559;"UVR_Unidad de valor real"
"2016/09/11";243,1966;"UVR_Unidad de valor real"
"2016/09/12";243,2373;"UVR_Unidad de valor real"
"2016/09/13";243,278;"UVR_Unidad de valor real"
"2016/09/14";243,3187;"UVR_Unidad de valor real"
"2016/09/15";243,3594;"UVR_Unidad de valor real"
"2016/09/16";243,3334;"UVR_Unidad de valor real"
"2016/09/17";243,3074;"UVR_Unidad de valor real"
"2016/09/18";243,2814;"UVR_Unidad de valor real"
"2016/09/19";243,2554;"UVR_Unidad de valor real"
